year,round,raceName,circuitId,driverId,constructorId,number,position,Q1,Q2,Q3
2021,1,Bahrain Grand Prix,bahrain,max_verstappen,red_bull,33,1,1:30.499,1:30.318,1:28.997
2021,1,Bahrain Grand Prix,bahrain,hamilton,mercedes,44,2,1:30.617,1:30.085,1:29.385
2021,1,Bahrain Grand Prix,bahrain,bottas,mercedes,77,3,1:31.200,1:30.186,1:29.586
2021,1,Bahrain Grand Prix,bahrain,leclerc,ferrari,16,4,1:30.691,1:30.010,1:29.678
2021,1,Bahrain Grand Prix,bahrain,gasly,alphatauri,10,5,1:30.848,1:30.513,1:29.809
2021,1,Bahrain Grand Prix,bahrain,ricciardo,mclaren,3,6,1:30.795,1:30.222,1:29.927
2021,1,Bahrain Grand Prix,bahrain,norris,mclaren,4,7,1:30.902,1:30.099,1:29.974
2021,1,Bahrain Grand Prix,bahrain,sainz,ferrari,55,8,1:31.653,1:30.009,1:30.215
2021,1,Bahrain Grand Prix,bahrain,alonso,alpine,14,9,1:30.863,1:30.595,1:30.249
2021,1,Bahrain Grand Prix,bahrain,stroll,aston_martin,18,10,1:31.261,1:30.624,1:30.601
2021,1,Bahrain Grand Prix,bahrain,perez,red_bull,11,11,1:31.165,1:30.659,
2021,1,Bahrain Grand Prix,bahrain,giovinazzi,alfa,99,12,1:30.998,1:30.708,
2021,1,Bahrain Grand Prix,bahrain,tsunoda,alphatauri,22,13,1:30.607,1:31.203,
2021,1,Bahrain Grand Prix,bahrain,raikkonen,alfa,7,14,1:31.547,1:31.238,
2021,1,Bahrain Grand Prix,bahrain,russell,williams,63,15,1:31.316,1:33.430,
2021,1,Bahrain Grand Prix,bahrain,ocon,alpine,31,16,1:31.724,,
2021,1,Bahrain Grand Prix,bahrain,latifi,williams,6,17,1:31.936,,
2021,1,Bahrain Grand Prix,bahrain,vettel,aston_martin,5,18,1:32.056,,
2021,1,Bahrain Grand Prix,bahrain,mick_schumacher,haas,47,19,1:32.449,,
2021,1,Bahrain Grand Prix,bahrain,mazepin,haas,9,20,1:33.273,,
2021,2,Emilia Romagna Grand Prix,imola,hamilton,mercedes,44,1,1:14.823,1:14.817,1:14.411
2021,2,Emilia Romagna Grand Prix,imola,perez,red_bull,11,2,1:15.395,1:14.716,1:14.446
2021,2,Emilia Romagna Grand Prix,imola,max_verstappen,red_bull,33,3,1:15.109,1:14.884,1:14.498
2021,2,Emilia Romagna Grand Prix,imola,leclerc,ferrari,16,4,1:15.413,1:14.808,1:14.740
2021,2,Emilia Romagna Grand Prix,imola,gasly,alphatauri,10,5,1:15.548,1:14.927,1:14.790
2021,2,Emilia Romagna Grand Prix,imola,ricciardo,mclaren,3,6,1:15.669,1:15.033,1:14.826
2021,2,Emilia Romagna Grand Prix,imola,norris,mclaren,4,7,1:15.009,1:14.718,1:14.875
2021,2,Emilia Romagna Grand Prix,imola,bottas,mercedes,77,8,1:14.672,1:14.905,1:14.898
2021,2,Emilia Romagna Grand Prix,imola,ocon,alpine,31,9,1:15.385,1:15.117,1:15.210
2021,2,Emilia Romagna Grand Prix,imola,stroll,aston_martin,18,10,1:15.522,1:15.138,
2021,2,Emilia Romagna Grand Prix,imola,sainz,ferrari,55,11,1:15.406,1:15.199,
2021,2,Emilia Romagna Grand Prix,imola,russell,williams,63,12,1:15.826,1:15.261,
2021,2,Emilia Romagna Grand Prix,imola,vettel,aston_martin,5,13,1:15.459,1:15.394,
2021,2,Emilia Romagna Grand Prix,imola,latifi,williams,6,14,1:15.653,1:15.593,
2021,2,Emilia Romagna Grand Prix,imola,alonso,alpine,14,15,1:15.832,1:15.593,
2021,2,Emilia Romagna Grand Prix,imola,raikkonen,alfa,7,16,1:15.974,,
2021,2,Emilia Romagna Grand Prix,imola,giovinazzi,alfa,99,17,1:16.122,,
2021,2,Emilia Romagna Grand Prix,imola,mick_schumacher,haas,47,18,1:16.279,,
2021,2,Emilia Romagna Grand Prix,imola,mazepin,haas,9,19,1:16.797,,
2021,2,Emilia Romagna Grand Prix,imola,tsunoda,alphatauri,22,20,,,
2021,3,Portuguese Grand Prix,portimao,bottas,mercedes,77,1,1:18.722,1:18.458,1:18.348
2021,3,Portuguese Grand Prix,portimao,hamilton,mercedes,44,2,1:18.857,1:17.968,1:18.355
2021,3,Portuguese Grand Prix,portimao,max_verstappen,red_bull,33,3,1:19.485,1:18.650,1:18.746
2021,3,Portuguese Grand Prix,portimao,perez,red_bull,11,4,1:19.337,1:18.845,1:18.890
2021,3,Portuguese Grand Prix,portimao,sainz,ferrari,55,5,1:19.309,1:18.813,1:19.039
2021,3,Portuguese Grand Prix,portimao,ocon,alpine,31,6,1:19.092,1:18.586,1:19.042
2021,3,Portuguese Grand Prix,portimao,norris,mclaren,4,7,1:18.794,1:18.481,1:19.116
2021,3,Portuguese Grand Prix,portimao,leclerc,ferrari,16,8,1:19.373,1:18.769,1:19.306
2021,3,Portuguese Grand Prix,portimao,gasly,alphatauri,10,9,1:19.464,1:19.052,1:19.475
2021,3,Portuguese Grand Prix,portimao,vettel,aston_martin,5,10,1:19.403,1:18.970,1:19.659
2021,3,Portuguese Grand Prix,portimao,russell,williams,63,11,1:19.797,1:19.109,
2021,3,Portuguese Grand Prix,portimao,giovinazzi,alfa,99,12,1:19.410,1:19.216,
2021,3,Portuguese Grand Prix,portimao,alonso,alpine,14,13,1:19.728,1:19.456,
2021,3,Portuguese Grand Prix,portimao,tsunoda,alphatauri,22,14,1:19.684,1:19.463,
2021,3,Portuguese Grand Prix,portimao,raikkonen,alfa,7,15,1:19.748,1:19.812,
2021,3,Portuguese Grand Prix,portimao,ricciardo,mclaren,3,16,1:19.839,,
2021,3,Portuguese Grand Prix,portimao,stroll,aston_martin,18,17,1:19.913,,
2021,3,Portuguese Grand Prix,portimao,latifi,williams,6,18,1:20.285,,
2021,3,Portuguese Grand Prix,portimao,mick_schumacher,haas,47,19,1:20.452,,
2021,3,Portuguese Grand Prix,portimao,mazepin,haas,9,20,1:20.912,,
2021,4,Spanish Grand Prix,catalunya,hamilton,mercedes,44,1,1:18.245,1:17.166,1:16.741
2021,4,Spanish Grand Prix,catalunya,max_verstappen,red_bull,33,2,1:18.090,1:16.922,1:16.777
2021,4,Spanish Grand Prix,catalunya,bottas,mercedes,77,3,1:18.005,1:17.142,1:16.873
2021,4,Spanish Grand Prix,catalunya,leclerc,ferrari,16,4,1:18.041,1:17.717,1:17.510
2021,4,Spanish Grand Prix,catalunya,ocon,alpine,31,5,1:18.281,1:17.743,1:17.580
2021,4,Spanish Grand Prix,catalunya,sainz,ferrari,55,6,1:18.205,1:17.656,1:17.620
2021,4,Spanish Grand Prix,catalunya,ricciardo,mclaren,3,7,1:18.264,1:17.719,1:17.622
2021,4,Spanish Grand Prix,catalunya,perez,red_bull,11,8,1:18.203,1:17.669,1:17.701
2021,4,Spanish Grand Prix,catalunya,norris,mclaren,4,9,1:17.821,1:17.696,1:18.010
2021,4,Spanish Grand Prix,catalunya,alonso,alpine,14,10,1:18.281,1:17.966,1:18.147
2021,4,Spanish Grand Prix,catalunya,stroll,aston_martin,18,11,1:18.241,1:17.974,
2021,4,Spanish Grand Prix,catalunya,gasly,alphatauri,10,12,1:18.190,1:17.982,
2021,4,Spanish Grand Prix,catalunya,vettel,aston_martin,5,13,1:18.289,1:18.079,
2021,4,Spanish Grand Prix,catalunya,giovinazzi,alfa,99,14,1:18.549,1:18.356,
2021,4,Spanish Grand Prix,catalunya,russell,williams,63,15,1:18.445,1:19.154,
2021,4,Spanish Grand Prix,catalunya,tsunoda,alphatauri,22,16,1:18.556,,
2021,4,Spanish Grand Prix,catalunya,raikkonen,alfa,7,17,1:18.917,,
2021,4,Spanish Grand Prix,catalunya,mick_schumacher,haas,47,18,1:19.117,,
2021,4,Spanish Grand Prix,catalunya,latifi,williams,6,19,1:19.219,,
2021,4,Spanish Grand Prix,catalunya,mazepin,haas,9,20,1:19.807,,
2021,5,Monaco Grand Prix,monaco,leclerc,ferrari,16,1,1:11.113,1:10.597,1:10.346
2021,5,Monaco Grand Prix,monaco,max_verstappen,red_bull,33,2,1:11.124,1:10.650,1:10.576
2021,5,Monaco Grand Prix,monaco,bottas,mercedes,77,3,1:10.938,1:10.695,1:10.601
2021,5,Monaco Grand Prix,monaco,sainz,ferrari,55,4,1:11.324,1:10.806,1:10.611
2021,5,Monaco Grand Prix,monaco,norris,mclaren,4,5,1:11.321,1:11.031,1:10.620
2021,5,Monaco Grand Prix,monaco,gasly,alphatauri,10,6,1:11.560,1:11.179,1:10.900
2021,5,Monaco Grand Prix,monaco,hamilton,mercedes,44,7,1:11.622,1:11.116,1:11.095
2021,5,Monaco Grand Prix,monaco,vettel,aston_martin,5,8,1:12.078,1:11.309,1:11.419
2021,5,Monaco Grand Prix,monaco,perez,red_bull,11,9,1:11.644,1:11.019,1:11.573
2021,5,Monaco Grand Prix,monaco,giovinazzi,alfa,99,10,1:11.658,1:11.409,1:11.779
2021,5,Monaco Grand Prix,monaco,ocon,alpine,31,11,1:11.740,1:11.486,
2021,5,Monaco Grand Prix,monaco,ricciardo,mclaren,3,12,1:11.747,1:11.598,
2021,5,Monaco Grand Prix,monaco,stroll,aston_martin,18,13,1:11.979,1:11.600,
2021,5,Monaco Grand Prix,monaco,raikkonen,alfa,7,14,1:11.899,1:11.642,
2021,5,Monaco Grand Prix,monaco,russell,williams,63,15,1:12.016,1:11.830,
2021,5,Monaco Grand Prix,monaco,tsunoda,alphatauri,22,16,1:12.096,,
2021,5,Monaco Grand Prix,monaco,alonso,alpine,14,17,1:12.205,,
2021,5,Monaco Grand Prix,monaco,latifi,williams,6,18,1:12.366,,
2021,5,Monaco Grand Prix,monaco,mazepin,haas,9,19,1:12.958,,
2021,6,Azerbaijan Grand Prix,baku,leclerc,ferrari,16,1,1:42.241,1:41.659,1:41.218
2022,1,Bahrain Grand Prix,bahrain,leclerc,ferrari,16,1,1:31.471,1:30.932,1:30.558
2022,1,Bahrain Grand Prix,bahrain,max_verstappen,red_bull,1,2,1:31.785,1:30.757,1:30.681
2022,1,Bahrain Grand Prix,bahrain,sainz,ferrari,55,3,1:31.567,1:30.787,1:30.687
2022,1,Bahrain Grand Prix,bahrain,perez,red_bull,11,4,1:32.311,1:31.008,1:30.921
2022,1,Bahrain Grand Prix,bahrain,hamilton,mercedes,44,5,1:32.285,1:31.048,1:31.238
2022,1,Bahrain Grand Prix,bahrain,bottas,alfa,77,6,1:31.919,1:31.717,1:31.560
2022,1,Bahrain Grand Prix,bahrain,kevin_magnussen,haas,20,7,1:31.955,1:31.461,1:31.808
2022,1,Bahrain Grand Prix,bahrain,alonso,alpine,14,8,1:32.346,1:31.621,1:32.195
2022,1,Bahrain Grand Prix,bahrain,russell,mercedes,63,9,1:32.269,1:31.252,1:32.216
2022,1,Bahrain Grand Prix,bahrain,gasly,alphatauri,10,10,1:32.096,1:31.635,1:32.338
2022,1,Bahrain Grand Prix,bahrain,ocon,alpine,31,11,1:32.041,1:31.782,
2022,1,Bahrain Grand Prix,bahrain,mick_schumacher,haas,47,12,1:32.380,1:31.998,
2022,1,Bahrain Grand Prix,bahrain,norris,mclaren,4,13,1:32.239,1:32.008,
2022,1,Bahrain Grand Prix,bahrain,albon,williams,23,14,1:32.726,1:32.664,
2022,1,Bahrain Grand Prix,bahrain,zhou,alfa,24,15,1:32.493,1:33.543,
2022,1,Bahrain Grand Prix,bahrain,tsunoda,alphatauri,22,16,1:32.750,,
2022,1,Bahrain Grand Prix,bahrain,hulkenberg,aston_martin,27,17,1:32.777,,
2022,1,Bahrain Grand Prix,bahrain,ricciardo,mclaren,3,18,1:32.945,,
2022,1,Bahrain Grand Prix,bahrain,stroll,aston_martin,18,19,1:33.032,,
2022,1,Bahrain Grand Prix,bahrain,latifi,williams,6,20,1:33.634,,
2022,2,Saudi Arabian Grand Prix,jeddah,perez,red_bull,11,1,1:29.705,1:28.924,1:28.200
2022,2,Saudi Arabian Grand Prix,jeddah,leclerc,ferrari,16,2,1:29.039,1:28.780,1:28.225
2022,2,Saudi Arabian Grand Prix,jeddah,sainz,ferrari,55,3,1:28.855,1:28.686,1:28.402
2022,2,Saudi Arabian Grand Prix,jeddah,max_verstappen,red_bull,1,4,1:28.928,1:28.945,1:28.461
2022,2,Saudi Arabian Grand Prix,jeddah,ocon,alpine,31,5,1:30.093,1:29.584,1:29.068
2022,2,Saudi Arabian Grand Prix,jeddah,russell,mercedes,63,6,1:29.680,1:29.618,1:29.104
2022,2,Saudi Arabian Grand Prix,jeddah,alonso,alpine,14,7,1:29.978,1:29.295,1:29.147
2022,2,Saudi Arabian Grand Prix,jeddah,bottas,alfa,77,8,1:29.683,1:29.404,1:29.183
2022,2,Saudi Arabian Grand Prix,jeddah,gasly,alphatauri,10,9,1:29.891,1:29.418,1:29.254
2022,2,Saudi Arabian Grand Prix,jeddah,kevin_magnussen,haas,20,10,1:29.831,1:29.546,1:29.588
2022,2,Saudi Arabian Grand Prix,jeddah,norris,mclaren,4,11,1:29.957,1:29.651,
2022,2,Saudi Arabian Grand Prix,jeddah,ricciardo,mclaren,3,12,1:30.009,1:29.773,
2022,2,Saudi Arabian Grand Prix,jeddah,zhou,alfa,24,13,1:29.978,1:29.819,
2022,2,Saudi Arabian Grand Prix,jeddah,mick_schumacher,haas,47,14,1:30.167,1:29.920,
2022,2,Saudi Arabian Grand Prix,jeddah,stroll,aston_martin,18,15,1:30.256,1:31.009,
2022,2,Saudi Arabian Grand Prix,jeddah,hamilton,mercedes,44,16,1:30.343,,
2022,2,Saudi Arabian Grand Prix,jeddah,albon,williams,23,17,1:30.492,,
2022,2,Saudi Arabian Grand Prix,jeddah,hulkenberg,aston_martin,27,18,1:30.543,,
2022,2,Saudi Arabian Grand Prix,jeddah,latifi,williams,6,19,1:31.817,,
2022,2,Saudi Arabian Grand Prix,jeddah,tsunoda,alphatauri,22,20,,,
2022,3,Australian Grand Prix,albert_park,leclerc,ferrari,16,1,1:18.881,1:18.606,1:17.868
2022,3,Australian Grand Prix,albert_park,max_verstappen,red_bull,1,2,1:18.580,1:18.611,1:18.154
2022,3,Australian Grand Prix,albert_park,perez,red_bull,11,3,1:18.834,1:18.340,1:18.240
2022,3,Australian Grand Prix,albert_park,norris,mclaren,4,4,1:19.280,1:19.066,1:18.703
2022,3,Australian Grand Prix,albert_park,hamilton,mercedes,44,5,1:19.401,1:19.106,1:18.825
2022,3,Australian Grand Prix,albert_park,russell,mercedes,63,6,1:19.405,1:19.076,1:18.933
2022,3,Australian Grand Prix,albert_park,ricciardo,mclaren,3,7,1:19.665,1:19.130,1:19.032
2022,3,Australian Grand Prix,albert_park,ocon,alpine,31,8,1:19.605,1:19.136,1:19.061
2022,3,Australian Grand Prix,albert_park,sainz,ferrari,55,9,1:18.983,1:18.469,1:19.408
2022,3,Australian Grand Prix,albert_park,alonso,alpine,14,10,1:19.192,1:18.815,
2022,3,Australian Grand Prix,albert_park,gasly,alphatauri,10,11,1:19.580,1:19.226,
2022,3,Australian Grand Prix,albert_park,bottas,alfa,77,12,1:19.251,1:19.410,
2022,3,Australian Grand Prix,albert_park,tsunoda,alphatauri,22,13,1:19.742,1:19.424,
2022,3,Australian Grand Prix,albert_park,zhou,alfa,24,14,1:19.910,1:20.155,
2022,3,Australian Grand Prix,albert_park,mick_schumacher,haas,47,15,1:20.104,1:20.465,
2022,3,Australian Grand Prix,albert_park,albon,williams,23,16,1:20.135,,
2022,3,Australian Grand Prix,albert_park,kevin_magnussen,haas,20,17,1:20.254,,
2022,3,Australian Grand Prix,albert_park,vettel,aston_martin,5,18,1:21.149,,
2022,3,Australian Grand Prix,albert_park,latifi,williams,6,19,1:21.372,,
2022,3,Australian Grand Prix,albert_park,stroll,aston_martin,18,20,,,
2022,4,Emilia Romagna Grand Prix,imola,max_verstappen,red_bull,1,1,1:19.295,1:18.793,1:27.999
2022,4,Emilia Romagna Grand Prix,imola,leclerc,ferrari,16,2,1:18.796,1:19.584,1:28.778
2022,4,Emilia Romagna Grand Prix,imola,norris,mclaren,4,3,1:20.168,1:19.294,1:29.131
2022,4,Emilia Romagna Grand Prix,imola,kevin_magnussen,haas,20,4,1:20.147,1:19.902,1:29.164
2022,4,Emilia Romagna Grand Prix,imola,alonso,alpine,14,5,1:20.198,1:19.595,1:29.202
2022,4,Emilia Romagna Grand Prix,imola,ricciardo,mclaren,3,6,1:19.980,1:20.031,1:29.742
2022,4,Emilia Romagna Grand Prix,imola,perez,red_bull,11,7,1:19.773,1:19.296,1:29.808
2022,4,Emilia Romagna Grand Prix,imola,bottas,alfa,77,8,1:20.419,1:20.192,1:30.439
2022,4,Emilia Romagna Grand Prix,imola,vettel,aston_martin,5,9,1:20.364,1:19.957,1:31.062
2022,4,Emilia Romagna Grand Prix,imola,sainz,ferrari,55,10,1:19.305,1:18.990,
2022,4,Emilia Romagna Grand Prix,imola,russell,mercedes,63,11,1:20.383,1:20.757,
2022,4,Emilia Romagna Grand Prix,imola,mick_schumacher,haas,47,12,1:20.422,1:20.916,
2022,4,Emilia Romagna Grand Prix,imola,hamilton,mercedes,44,13,1:20.470,1:21.138,
2022,4,Emilia Romagna Grand Prix,imola,zhou,alfa,24,14,1:19.730,1:21.434,
2022,4,Emilia Romagna Grand Prix,imola,stroll,aston_martin,18,15,1:20.342,1:28.119,
2022,4,Emilia Romagna Grand Prix,imola,tsunoda,alphatauri,22,16,1:20.474,,
2022,4,Emilia Romagna Grand Prix,imola,gasly,alphatauri,10,17,1:20.732,,
2022,4,Emilia Romagna Grand Prix,imola,latifi,williams,6,18,1:21.971,,
2022,4,Emilia Romagna Grand Prix,imola,ocon,alpine,31,19,1:22.338,,
2022,4,Emilia Romagna Grand Prix,imola,albon,williams,23,20,,,
2022,5,Miami Grand Prix,miami,leclerc,ferrari,16,1,1:29.474,1:29.130,1:28.796
2022,5,Miami Grand Prix,miami,sainz,ferrari,55,2,1:30.079,1:29.729,1:28.986
2022,5,Miami Grand Prix,miami,max_verstappen,red_bull,1,3,1:29.836,1:29.202,1:28.991
2022,5,Miami Grand Prix,miami,perez,red_bull,11,4,1:30.055,1:29.673,1:29.036
2022,5,Miami Grand Prix,miami,bottas,alfa,77,5,1:30.845,1:29.751,1:29.475
2022,5,Miami Grand Prix,miami,hamilton,mercedes,44,6,1:30.388,1:29.797,1:29.625
2022,5,Miami Grand Prix,miami,gasly,alphatauri,10,7,1:30.779,1:30.128,1:29.690
2022,5,Miami Grand Prix,miami,norris,mclaren,4,8,1:30.761,1:29.634,1:29.750
2022,5,Miami Grand Prix,miami,tsunoda,alphatauri,22,9,1:30.485,1:30.031,1:29.932
2022,5,Miami Grand Prix,miami,stroll,aston_martin,18,10,1:30.441,1:29.996,1:30.676
2022,5,Miami Grand Prix,miami,alonso,alpine,14,11,1:30.407,1:30.160,
2022,5,Miami Grand Prix,miami,russell,mercedes,63,12,1:30.490,1:30.173,
2022,5,Miami Grand Prix,miami,vettel,aston_martin,5,13,1:30.677,1:30.214,
2022,5,Miami Grand Prix,miami,ricciardo,mclaren,3,14,1:30.583,1:30.310,
2022,5,Miami Grand Prix,miami,mick_schumacher,haas,47,15,1:30.645,1:30.423,
2022,5,Miami Grand Prix,miami,kevin_magnussen,haas,20,16,1:30.975,,
2022,5,Miami Grand Prix,miami,zhou,alfa,24,17,1:31.020,,
2022,5,Miami Grand Prix,miami,albon,williams,23,18,1:31.266,,
